Nome do Conteúdo,Status,Data Gravação,Formato,Canais,Criado por,Data Publicação,Link Video,Número,Tema,Última edição
A contabilidade é sua maior aliada.,Publicado,16/05/2025,Video,,Arthur Ferreira -OSP,18/07/2025,https://drive.google.com/file/d/1I3FYitrqxpY7clFh8YZSA-GlilJPlTU1/view?usp=drive_link,,,18 de agosto de 2025 17:07
A contabilidade não é o problema. O problema é como você está usando ela!,Publicado,28/03/2025,Video,"Facebook, Instagram, LinkedIn",Arthur Ferreira -OSP,18/06/2025,https://drive.google.com/file/d/1_XuGGdfQ8Ztsce0jSCt7Qf4Hi-TtmGSR/view?usp=drive_link,,,18 de agosto de 2025 17:07
"Você já tem contador, mas tem resultado?",Publicado,14/04/2025,Video,,Arthur Ferreira -OSP,11/06/2025,https://drive.google.com/file/d/1h8Iu6QVpE3_LQ2TMXV6Nlp6y0Un_w41b/view?usp=drive_link,,,18 de agosto de 2025 17:07
Do caos ao controle: soluções contábeis para empresas que querem escalar,Publicado,14/04/2025,Video,,Arthur Ferreira -OSP,09/06/2025,https://drive.google.com/file/d/1vI0RwseKuqG66jPZmTuu7tnzi-_O_3pZ/view?usp=drive_link,,,18 de agosto de 2025 17:07
"Não é só contabilidade, é estratégia para prosperar no mercado",Publicado,14/04/2025,Video,"Facebook, Instagram",Arthur Ferreira -OSP,23/05/2025,https://drive.google.com/file/d/1Z47g26eNyJzua1IdFCnxOcmTjln5vqsY/view?usp=drive_link,,,18 de agosto de 2025 17:07
Você já tem contador interno. Mas tem inteligência estratégica?,Publicado,14/04/2025,Video,,Arthur Ferreira -OSP,20/06/2025,https://drive.google.com/file/d/1bn5hk5IsEPKSSDPVVuvCZBPH4j9_T8kr/view?usp=drive_link,,,18 de agosto de 2025 17:07
Você não precisa se matar pelo seu negócio pra ele dar certo,Publicado,16/05/2025,Video,,Arthur Ferreira -OSP,02/07/2025,https://drive.google.com/file/d/1cGWRZyTDk7RleTo5GtcHXgMo8I-iF1bn/view?usp=drive_link,,,18 de agosto de 2025 17:07
Expandir pro Brasil sem parceiro especializado é receita para o desastre empresarial.,Gravação,,Video,,Arthur Ferreira -OSP,,,,,7 de agosto de 2025 23:10
Contabilidade é tudo igual? Então por que tem empresa lucrando e você não?,Publicado,16/05/2025,Video,,Arthur Ferreira -OSP,14/07/2025,https://drive.google.com/file/d/1KyKCGF4knBVGX5n-TSZvilMuEUgiBCIr/view?usp=drive_link,,,18 de agosto de 2025 17:07
Quem não domina os números… vira refém do próprio negócio,Publicado,14/04/2025,Video,"Facebook, Instagram",Arthur Ferreira -OSP,28/05/2025,https://drive.google.com/file/d/1d-P9UCS1OL2okjZ9-Hn9EQBmylVEQzVv/view?usp=drive_link,,,18 de agosto de 2025 17:07
Lucro Real não é problema. É a chave do crescimento.,Publicado,14/04/2025,Video,"Facebook, Instagram",Arthur Ferreira -OSP,19/05/2025,https://drive.google.com/file/d/1D59Azm8HUqcDZJEe4Jx64EeazfU8fhua/view?usp=drive_link,,,18 de agosto de 2025 17:07
Empresário apagando incêndio não cresce. Só sobrevive.,Publicado,14/04/2025,Video,"Facebook, Instagram",Arthur Ferreira -OSP,30/05/2025,https://drive.google.com/file/d/1ds_abGV0xXhEMjK8j538jion0hhq-rZ4/view?usp=drive_link,,,18 de agosto de 2025 17:07
Consultoria contábil não é luxo. É o que separa quem cresce de quem fecha.,Publicado,05/06/2025,Video,,Arthur Ferreira -OSP,30/06/2025,https://drive.google.com/file/d/1rfjMe70NTOrZuQQUVDI_vxYsGk1l1nN7/view?usp=drive_link,,,18 de agosto de 2025 17:07
"Se sua contabilidade não participa da sua rotina, ela só gera boleto.",Estoque,18/07/2025,Video,,Arthur Ferreira -OSP,,https://drive.google.com/file/d/17HbQPBEemqytZbl6GkZJxYynvu2xj3Re/view?usp=drive_link,6,,7 de agosto de 2025 23:11
‘Já tenho contador’ é o que você diz… até perceber que está perdendo dinheiro todo mês.,Publicado,16/05/2025,Video,,Arthur Ferreira -OSP,25/06/2025,https://drive.google.com/file/d/1TPFXYq4uxnHwELOg4W1y9eTy27FG1p_U/view?usp=drive_link,,,18 de agosto de 2025 17:07
Trocar de contabilidade não é difícil. Difícil é continuar com uma que te trava.,Publicado,14/04/2025,Video,,Arthur Ferreira -OSP,16/06/2025,https://drive.google.com/file/d/1mjm0c1kA9JwvmoZmYFoguSnNcVFHxkJj/view?usp=drive_link,,,18 de agosto de 2025 17:07
Você não precisa crescer no escuro.,Publicado,16/05/2025,Video,,Arthur Ferreira -OSP,27/06/2025,https://drive.google.com/file/d/1poKlQWK_kLISDqM5BZL7BVvB80sF908y/view?usp=drive_link,,,18 de agosto de 2025 17:07
Sua contabilidade está ajudando ou atrapalhando sua empresa?,Estoque,16/05/2025,Video,,Arthur Ferreira -OSP,25/07/2025,https://drive.google.com/file/d/1EpLGM8YHzAtiBBxo7B2tw6DSYMM13lX2/view?usp=drive_link,,,7 de agosto de 2025 23:10
Empresário que não entende seus números… está jogando no escuro!,Publicado,16/05/2025,Video,,Arthur Ferreira -OSP,09/07/2025,https://drive.google.com/file/d/1dIkbBiJNkNAQLArOos6K0ABzZ7OFuyuY/view?usp=drive_linkhttps://drive.google.com/file/d/1dIkbBiJNkNAQLArOos6K0ABzZ7OFuyuY/view?usp=drive_link,,,18 de agosto de 2025 17:07
Contabilidade não é só obrigação. É PODER de decisão.,Publicado,14/04/2025,Video,"Facebook, Instagram",Arthur Ferreira -OSP,15/05/2025,https://drive.google.com/file/d/1lhv2yP_nbiHCEL2W_MM2qLk-lZJ6nE-D/view?usp=drive_link,,,18 de agosto de 2025 17:07
Contabilidade boa não é a mais barata. É a que te deixa no lucro.,Publicado,16/05/2025,Video,,OSP Mkt,07/07/2025,https://drive.google.com/file/d/1Cx1x0-qC0_2KdFutnqslhyc_Tdyh3vr4/view?usp=drive_link,,,18 de agosto de 2025 17:07
"Lucro Real não é pra todo mundo, mas talvez seja pra você.",Publicado,16/05/2025,Video,,OSP Mkt,16/07/2025,https://drive.google.com/file/d/1fXFp9PI_eR1CY86hY4ME7M_ukvHgTiXH/view?usp=drive_link,,,18 de agosto de 2025 17:07
Solução não é sistema. E sistema sozinho… não resolve nada.,Publicado,16/05/2025,Video,,OSP Mkt,23/07/2025,https://drive.google.com/file/d/1tYj_r8nT0oSmO1eSwsjTO_YB5zDRZAqG/view?usp=drive_link,,,18 de agosto de 2025 17:07
Migrar pro Lucro Real não é risco… é inteligência.,Publicado,16/05/2025,Video,,OSP Mkt,04/07/2025,https://drive.google.com/file/d/1tLSfUV-bNPJXExk8P85vhVWNKw0FGQPl/view?usp=drive_link,,,18 de agosto de 2025 17:07
Lucro Real não é complicado. Complicado é crescer sem saber o quanto paga de imposto.,Gravação,,Video,,Arthur Ferreira -OSP,,,,,7 de agosto de 2025 23:10
Sua empresa fatura como gente grande… mas paga imposto como amador.,Estoque,18/07/2025,Video,,Arthur Ferreira -OSP,,https://drive.google.com/file/d/1IkJm91tbtMExMiAYpKFuhO9zlaWUbQK8/view?usp=drive_link,7,,7 de agosto de 2025 23:11
Você não precisa só de mais vendas. Precisa parar de rasgar dinheiro no fiscal.,Estoque,18/07/2025,Video,,Arthur Ferreira -OSP,,,,,29 de outubro de 2025 12:52
Planejamento tributário não é luxo. É sobrevivência pra quem quer crescer.,Estoque,16/05/2025,Video,,Arthur Ferreira -OSP,28/07/2025,https://drive.google.com/file/d/1a1gUbCOKAL4VEGWsXqJlYuLwLxPYRjP1/view?usp=drive_link,,,7 de agosto de 2025 23:10
Seu contador está te entregando guias… ou estratégia?,Estoque,18/07/2025,Video,,Arthur Ferreira -OSP,,https://drive.google.com/file/d/1uDXk2U2S1-QH2FROkvZPRa8p0gtVKcsE/view?usp=drive_link,3,,7 de agosto de 2025 23:11
"Quem entende de números… cresce com previsibilidade. Quem não entende, torce pra dar certo.",Estoque,18/07/2025,Video,,Arthur Ferreira -OSP,,,,,29 de outubro de 2025 12:52
A decisão mais inteligente que você pode tomar: sair do Simples antes que ele complique.,Estoque,18/07/2025,Video,,OSP Mkt,,https://drive.google.com/file/d/1UZ5vj00LNxPd-jqPeJHVuY6gUbS5ykyY/view?usp=drive_link,4,,7 de agosto de 2025 23:11
Sua contabilidade fala a língua da sua matriz?,Estoque,16/05/2025,Video,,OSP Mkt,06/08/2025,https://drive.google.com/file/d/1P0tud0vngh1Zvnb0A-OGM2ej4S-OEhQ2/view?usp=drive_link,,Multinacional,7 de agosto de 2025 23:10
Como saber se meu contador tá me fazendo perder dinheiro?,Gravação,,Video,,Arthur Ferreira -OSP,,,,Serviços,7 de agosto de 2025 23:10
Por que sair do Simples pode ser a decisão que salva minha empresa?,Gravação,,Video,,Arthur Ferreira -OSP,,,,Lucro Real,7 de agosto de 2025 23:09
Faturar alto é o mesmo que ter lucro?,Estoque,16/05/2025,Video,,Arthur Ferreira -OSP,30/07/2025,https://drive.google.com/file/d/1l8I_GG6nEDm_Ahq1ygKCrgJnf9WvIICm/view?usp=drive_link,,Lucro Real,7 de agosto de 2025 23:10
Contabilidade influencia no valor da empresa?,Estoque,16/05/2025,Video,,Arthur Ferreira -OSP,01/08/2025,https://drive.google.com/file/d/1Gv6ngpK_AGm2T1X8LSWe3UqqHm3N1l--/view?usp=drive_link,,Holding,7 de agosto de 2025 23:10
Contabilidade industrial: o segredo para não perder dinheiro todo mês,Gravação,,Video,,Arthur Ferreira -OSP,,,,Indústria,7 de agosto de 2025 23:09
Tributação na indústria: o que pode estar travando seu crescimento,Gravação,,Video,,Arthur Ferreira -OSP,,,,Indústria,7 de agosto de 2025 23:09
Indústria despreparada no Lucro Real paga caro e você pode estar nessa,Estoque,16/05/2025,Video,,Arthur Ferreira -OSP,11/08/2025,https://drive.google.com/file/d/13lEl6Mka-n4CBQOCrtundrcf0R68Ohft/view?usp=drive_link,,Lucro Real,7 de agosto de 2025 23:10
Estoque mal gerenciado = imposto maior. Sua indústria está pagando caro?,Gravação,,Video,,Arthur Ferreira -OSP,,,,Indústria,7 de agosto de 2025 23:09
Você sabe qual é a capacidade produtiva da sua empresa?,Estoque,16/05/2025,Video,,Arthur Ferreira -OSP,08/08/2025,https://drive.google.com/file/d/1kc3uJQr20XPeR3MYdQ-y1hOutHANtv_m/view?usp=drive_link,,Indústria,7 de agosto de 2025 23:10
Trend: quem disse isso?,Gravação,,Video,,Arthur Ferreira -OSP,,,,Indústria,26 de agosto de 2025 12:51
"
Quem não planeja, paga imposto à toa",Gravação,,Video,,Arthur Ferreira -OSP,,,,Indústria,26 de agosto de 2025 12:51
Bombril em recuperação judicial: o que sua indústria pode aprender com isso?,Gravação,,Video,,melhormateus7@gmail.com,,,,Indústria,26 de agosto de 2025 12:51
Como a estrutura da sua empresa pode reduzir a carga tributária,Gravação,,Video,,melhormateus7@gmail.com,,,,Indústria,26 de agosto de 2025 12:51
2026 vai mudar o jogo do ITCMD,Gravação,,Video,,melhormateus7@gmail.com,,,,Indústria,26 de agosto de 2025 12:51
Planejamento sucessório: por que não esperar até a última hora,Gravação,,Video,,melhormateus7@gmail.com,,,,Indústria,26 de agosto de 2025 12:51
"
Contabilidade é o básico. Inteligência de negócio é o diferencial.",Gravação,,Video,,melhormateus7@gmail.com,,,,Indústria,26 de agosto de 2025 12:51
Planejamento tributário não é só pagar menos. É operar melohr,Gravação,,Video,,melhormateus7@gmail.com,,,,Indústria,26 de agosto de 2025 12:51
"
O que não te contam sobre migrar do Simples para o Lucro Real",Gravação,,Video,,melhormateus7@gmail.com,,,,Indústria,26 de agosto de 2025 12:51
"
Sua empresa cresceu. E agora: o seu patrimônio está protegido?",Gravação,,Video,,melhormateus7@gmail.com,,,,Indústria,26 de agosto de 2025 12:51
Contador não faz você lucrar mais? Mentira que te contaram!,Estoque,28/08/2025,Video,,Arthur Ferreira -OSP,,,,,29 de outubro de 2025 12:52
Escolher regime tributário errado custa mais que ter um sócio fantasma!,Estoque,28/08/2025,Video,,Arthur Ferreira -OSP,,,,,29 de outubro de 2025 12:52
Pagar imposto não é opcional. Pagar a mais é.,Roteiro,,Video,,Arthur Ferreira -OSP,,,,,28 de agosto de 2025 16:43
"Se a sua empresa depende só da memória da equipe… você não tem empresa, tem uma bomba-relógio.",Roteiro,,Video,,Arthur Ferreira -OSP,,,,,28 de agosto de 2025 16:43
Movimentação não é resultado. Processo é o que transforma energia em lucro.,Roteiro,,Video,,Arthur Ferreira -OSP,,,,,28 de agosto de 2025 16:43
ERP não é solução. ERP é ferramenta.,Estoque,28/08/2025,Video,,Arthur Ferreira -OSP,,,,,29 de outubro de 2025 12:52
Vários sistemas não integrados custam mais caro do que você imagina.,Estoque,28/08/2025,Video,,Arthur Ferreira -OSP,,,,,29 de outubro de 2025 12:52
Contador não é só para imposto.,Roteiro,,Video,,Arthur Ferreira -OSP,,,,,28 de agosto de 2025 16:43
Atendimento estratégico não é responder WhatsApp. É entender o negócio.,Estoque,28/08/2025,Video,,Arthur Ferreira -OSP,,,,,29 de outubro de 2025 12:52
Crescer sem números é receita para o caos.,Estoque,28/08/2025,Video,,Arthur Ferreira -OSP,,,,,29 de outubro de 2025 12:52
Expandir sem estratégia pode matar seu negócio.,Estoque,28/08/2025,Video,,Arthur Ferreira -OSP,,,,,29 de outubro de 2025 12:52
,Planejamento,,Video,,Arthur Ferreira -OSP,,,,,6 de outubro de 2025 13:02
Impactos da Reforma Tributária para o importador com benefícios,Planejamento,,Video,,Arthur Ferreira -OSP,,,,,7 de outubro de 2025 16:54
Vídeo institucional de bastidor: “Por dentro da OSP – o que acontece depois que você contrata”,Planejamento,,Video,,Arthur Ferreira -OSP,,,,,6 de outubro de 2025 13:44
Quanto custa não ter um planejamento tributário?,Planejamento,,Video,,Arthur Ferreira -OSP,,,,,6 de outubro de 2025 13:44
O novo empresário não quer contador - quer inteligência de negócios,Planejamento,,Video,,Arthur Ferreira -OSP,,,,,6 de outubro de 2025 14:22
