Nome do Conteúdo,Canais,Criado por,Data Gravação,Data Publicação,Formato,Link Video,Número,Status,Tema,Última edição
Sua contabilidade está ajudando ou atrapalhando sua empresa?,,Arthur Ferreira -OSP,16/05/2025,25/07/2025,Video,https://drive.google.com/file/d/1EpLGM8YHzAtiBBxo7B2tw6DSYMM13lX2/view?usp=drive_link,,Estoque,,7 de agosto de 2025 23:10
Empresário que não entende seus números… está jogando no escuro!,,Arthur Ferreira -OSP,16/05/2025,09/07/2025,Video,https://drive.google.com/file/d/1dIkbBiJNkNAQLArOos6K0ABzZ7OFuyuY/view?usp=drive_linkhttps://drive.google.com/file/d/1dIkbBiJNkNAQLArOos6K0ABzZ7OFuyuY/view?usp=drive_link,,Publicado,,18 de agosto de 2025 17:07
Contabilidade não é só obrigação. É PODER de decisão.,"Facebook, Instagram",Arthur Ferreira -OSP,14/04/2025,15/05/2025,Video,https://drive.google.com/file/d/1lhv2yP_nbiHCEL2W_MM2qLk-lZJ6nE-D/view?usp=drive_link,,Publicado,,18 de agosto de 2025 17:07
Contabilidade boa não é a mais barata. É a que te deixa no lucro.,,OSP Mkt,16/05/2025,07/07/2025,Video,https://drive.google.com/file/d/1Cx1x0-qC0_2KdFutnqslhyc_Tdyh3vr4/view?usp=drive_link,,Publicado,,18 de agosto de 2025 17:07
"Lucro Real não é pra todo mundo, mas talvez seja pra você.",,OSP Mkt,16/05/2025,16/07/2025,Video,https://drive.google.com/file/d/1fXFp9PI_eR1CY86hY4ME7M_ukvHgTiXH/view?usp=drive_link,,Publicado,,18 de agosto de 2025 17:07
Solução não é sistema. E sistema sozinho… não resolve nada.,,OSP Mkt,16/05/2025,23/07/2025,Video,https://drive.google.com/file/d/1tYj_r8nT0oSmO1eSwsjTO_YB5zDRZAqG/view?usp=drive_link,,Publicado,,18 de agosto de 2025 17:07
Migrar pro Lucro Real não é risco… é inteligência.,,OSP Mkt,16/05/2025,04/07/2025,Video,https://drive.google.com/file/d/1tLSfUV-bNPJXExk8P85vhVWNKw0FGQPl/view?usp=drive_link,,Publicado,,18 de agosto de 2025 17:07
Lucro Real não é complicado. Complicado é crescer sem saber o quanto paga de imposto.,,Arthur Ferreira -OSP,,,Video,,,Gravação,,7 de agosto de 2025 23:10
Sua empresa fatura como gente grande… mas paga imposto como amador.,,Arthur Ferreira -OSP,18/07/2025,,Video,https://drive.google.com/file/d/1IkJm91tbtMExMiAYpKFuhO9zlaWUbQK8/view?usp=drive_link,7,Estoque,,7 de agosto de 2025 23:11
Você não precisa só de mais vendas. Precisa parar de rasgar dinheiro no fiscal.,,Arthur Ferreira -OSP,18/07/2025,,Video,,,Estoque,,29 de outubro de 2025 12:52
Planejamento tributário não é luxo. É sobrevivência pra quem quer crescer.,,Arthur Ferreira -OSP,16/05/2025,28/07/2025,Video,https://drive.google.com/file/d/1a1gUbCOKAL4VEGWsXqJlYuLwLxPYRjP1/view?usp=drive_link,,Estoque,,7 de agosto de 2025 23:10
Seu contador está te entregando guias… ou estratégia?,,Arthur Ferreira -OSP,18/07/2025,,Video,https://drive.google.com/file/d/1uDXk2U2S1-QH2FROkvZPRa8p0gtVKcsE/view?usp=drive_link,3,Estoque,,7 de agosto de 2025 23:11
"Quem entende de números… cresce com previsibilidade. Quem não entende, torce pra dar certo.",,Arthur Ferreira -OSP,18/07/2025,,Video,,,Estoque,,29 de outubro de 2025 12:52
A decisão mais inteligente que você pode tomar: sair do Simples antes que ele complique.,,OSP Mkt,18/07/2025,,Video,https://drive.google.com/file/d/1UZ5vj00LNxPd-jqPeJHVuY6gUbS5ykyY/view?usp=drive_link,4,Estoque,,7 de agosto de 2025 23:11
Sua contabilidade fala a língua da sua matriz?,,OSP Mkt,16/05/2025,06/08/2025,Video,https://drive.google.com/file/d/1P0tud0vngh1Zvnb0A-OGM2ej4S-OEhQ2/view?usp=drive_link,,Estoque,Multinacional,7 de agosto de 2025 23:10
Como saber se meu contador tá me fazendo perder dinheiro?,,Arthur Ferreira -OSP,,,Video,,,Gravação,Serviços,7 de agosto de 2025 23:10
Por que sair do Simples pode ser a decisão que salva minha empresa?,,Arthur Ferreira -OSP,,,Video,,,Gravação,Lucro Real,7 de agosto de 2025 23:09
Faturar alto é o mesmo que ter lucro?,,Arthur Ferreira -OSP,16/05/2025,30/07/2025,Video,https://drive.google.com/file/d/1l8I_GG6nEDm_Ahq1ygKCrgJnf9WvIICm/view?usp=drive_link,,Estoque,Lucro Real,7 de agosto de 2025 23:10
Contabilidade influencia no valor da empresa?,,Arthur Ferreira -OSP,16/05/2025,01/08/2025,Video,https://drive.google.com/file/d/1Gv6ngpK_AGm2T1X8LSWe3UqqHm3N1l--/view?usp=drive_link,,Estoque,Holding,7 de agosto de 2025 23:10
Contabilidade industrial: o segredo para não perder dinheiro todo mês,,Arthur Ferreira -OSP,,,Video,,,Gravação,Indústria,7 de agosto de 2025 23:09
Tributação na indústria: o que pode estar travando seu crescimento,,Arthur Ferreira -OSP,,,Video,,,Gravação,Indústria,7 de agosto de 2025 23:09
Indústria despreparada no Lucro Real paga caro e você pode estar nessa,,Arthur Ferreira -OSP,16/05/2025,11/08/2025,Video,https://drive.google.com/file/d/13lEl6Mka-n4CBQOCrtundrcf0R68Ohft/view?usp=drive_link,,Estoque,Lucro Real,7 de agosto de 2025 23:10
Estoque mal gerenciado = imposto maior. Sua indústria está pagando caro?,,Arthur Ferreira -OSP,,,Video,,,Gravação,Indústria,7 de agosto de 2025 23:09
Você sabe qual é a capacidade produtiva da sua empresa?,,Arthur Ferreira -OSP,16/05/2025,08/08/2025,Video,https://drive.google.com/file/d/1kc3uJQr20XPeR3MYdQ-y1hOutHANtv_m/view?usp=drive_link,,Estoque,Indústria,7 de agosto de 2025 23:10
Trend: quem disse isso?,,Arthur Ferreira -OSP,,,Video,,,Gravação,Indústria,26 de agosto de 2025 12:51
"
Quem não planeja, paga imposto à toa",,Arthur Ferreira -OSP,,,Video,,,Gravação,Indústria,26 de agosto de 2025 12:51
Bombril em recuperação judicial: o que sua indústria pode aprender com isso?,,melhormateus7@gmail.com,,,Video,,,Gravação,Indústria,26 de agosto de 2025 12:51
Como a estrutura da sua empresa pode reduzir a carga tributária,,melhormateus7@gmail.com,,,Video,,,Gravação,Indústria,26 de agosto de 2025 12:51
2026 vai mudar o jogo do ITCMD,,melhormateus7@gmail.com,,,Video,,,Gravação,Indústria,26 de agosto de 2025 12:51
Planejamento sucessório: por que não esperar até a última hora,,melhormateus7@gmail.com,,,Video,,,Gravação,Indústria,26 de agosto de 2025 12:51
"
Contabilidade é o básico. Inteligência de negócio é o diferencial.",,melhormateus7@gmail.com,,,Video,,,Gravação,Indústria,26 de agosto de 2025 12:51
Planejamento tributário não é só pagar menos. É operar melohr,,melhormateus7@gmail.com,,,Video,,,Gravação,Indústria,26 de agosto de 2025 12:51
"
O que não te contam sobre migrar do Simples para o Lucro Real",,melhormateus7@gmail.com,,,Video,,,Gravação,Indústria,26 de agosto de 2025 12:51
"
Sua empresa cresceu. E agora: o seu patrimônio está protegido?",,melhormateus7@gmail.com,,,Video,,,Gravação,Indústria,26 de agosto de 2025 12:51
Contador não faz você lucrar mais? Mentira que te contaram!,,Arthur Ferreira -OSP,28/08/2025,,Video,,,Estoque,,29 de outubro de 2025 12:52
Escolher regime tributário errado custa mais que ter um sócio fantasma!,,Arthur Ferreira -OSP,28/08/2025,,Video,,,Estoque,,29 de outubro de 2025 12:52
Pagar imposto não é opcional. Pagar a mais é.,,Arthur Ferreira -OSP,,,Video,,,Roteiro,,28 de agosto de 2025 16:43
"Se a sua empresa depende só da memória da equipe… você não tem empresa, tem uma bomba-relógio.",,Arthur Ferreira -OSP,,,Video,,,Roteiro,,28 de agosto de 2025 16:43
Movimentação não é resultado. Processo é o que transforma energia em lucro.,,Arthur Ferreira -OSP,,,Video,,,Roteiro,,28 de agosto de 2025 16:43
ERP não é solução. ERP é ferramenta.,,Arthur Ferreira -OSP,28/08/2025,,Video,,,Estoque,,29 de outubro de 2025 12:52
Vários sistemas não integrados custam mais caro do que você imagina.,,Arthur Ferreira -OSP,28/08/2025,,Video,,,Estoque,,29 de outubro de 2025 12:52
Contador não é só para imposto.,,Arthur Ferreira -OSP,,,Video,,,Roteiro,,28 de agosto de 2025 16:43
Atendimento estratégico não é responder WhatsApp. É entender o negócio.,,Arthur Ferreira -OSP,28/08/2025,,Video,,,Estoque,,29 de outubro de 2025 12:52
Crescer sem números é receita para o caos.,,Arthur Ferreira -OSP,28/08/2025,,Video,,,Estoque,,29 de outubro de 2025 12:52
Expandir sem estratégia pode matar seu negócio.,,Arthur Ferreira -OSP,28/08/2025,,Video,,,Estoque,,29 de outubro de 2025 12:52
,,Arthur Ferreira -OSP,,,Video,,,Planejamento,,6 de outubro de 2025 13:02
Impactos da Reforma Tributária para o importador com benefícios,,Arthur Ferreira -OSP,,,Video,,,Planejamento,,7 de outubro de 2025 16:54
Vídeo institucional de bastidor: “Por dentro da OSP – o que acontece depois que você contrata”,,Arthur Ferreira -OSP,,,Video,,,Planejamento,,6 de outubro de 2025 13:44
Quanto custa não ter um planejamento tributário?,,Arthur Ferreira -OSP,,,Video,,,Planejamento,,6 de outubro de 2025 13:44
O novo empresário não quer contador - quer inteligência de negócios,,Arthur Ferreira -OSP,,,Video,,,Planejamento,,6 de outubro de 2025 14:22
