URL,GSC_Cliques,GSC_Posição,GSC_Impressões,GSC_CTR_%,Top_Keywords,Semrush_Visibilidade,Semrush_Ranking,GA4_Sessões,GA4_Usuários,GA4_Conversões,GA4_Conv_Rate_%,Engajamento_Segundos,Categoria,Prioridade,Status,Ação_Recomendada,Novo_URL_Estrutura
/segmentos/,278,N/A,N/A,N/A,segmentos,N/A,N/A,278,96,0,0,19.86,Índice,MÉDIA,✅ OK,Manter,/segmentos/
/servicos-contabeis/,252,N/A,N/A,N/A,serviços contábeis,N/A,N/A,252,77,0,0,27.30,Índice,MÉDIA,✅ OK,Manter,/servicos/
/tendencias-recentes-na-entrada-de-empresas-estrangeiras-no-brasil/,N/A,N/A,N/A,N/A,empresas estrangeiras brasil,N/A,N/A,199,78,0,0,65.63,Blog,BAIXA,✅ OK,Manter,/blog/empresas-estrangeiras-brasil/
/materiais/,188,N/A,N/A,N/A,materiais,N/A,N/A,188,66,0,0,30.39,Recursos,BAIXA,✅ OK,Manter,/recursos/
/10-documentos-contabeis-para-enviar-mensalmente-ao-contador/,N/A,N/A,N/A,N/A,documentos contábeis,N/A,N/A,179,71,0,0,57.99,Guia,MÉDIA,✅ FORTE,Manter,/guias/documentos-mensais/
/segmentos/contabilidade-industria/,177,N/A,N/A,N/A,contabilidade indústria,N/A,N/A,177,65,0,0,39.11,Segmento,MÉDIA,✅ FORTE,Manter,/segmentos/contabilidade-industria/
/trabalhe-conosco/,174,N/A,N/A,N/A,trabalhe conosco,N/A,N/A,174,49,0,0,58.84,Carreiras,BAIXA,✅ OK,Manter,/carreiras/
/holding-patrimonial-por-que-ainda-em-2025/,151,N/A,N/A,N/A,holding patrimonial,N/A,N/A,151,49,0,0,69.22,Guia,MÉDIA,✅ FORTE,Manter,/guias/holding-patrimonial-2025/
/servicos-contabeis/contabilidade-consultiva/,138,N/A,N/A,N/A,contabilidade consultiva,N/A,N/A,138,57,0,0,42.81,Serviço,MÉDIA,✅ FORTE,Manter,/servicos/contabilidade-consultiva/
/segmentos/contabilidade-especializada-em-supermercado/,133,N/A,N/A,N/A,contabilidade supermercado,N/A,N/A,133,50,0,0,55.36,Segmento,BAIXA,✅ OK,Manter,/segmentos/contabilidade-supermercado/
