ICP,Nome do Modelo,URL,Categoria,Status de Revisão,Ano,Data
Multinacionais,PT - Transfer Pricing - Multinacionais,https://docs.google.com/document/d/1otUt7ZBnTtXWCZXFzh_lXedJ1DOyMddeWejr7QrUSY0/edit?tab=t.0,Escopo de Produto,Não iniciada,2024,
Multinacionais,PT - Contabilidade Mensal - Multinacionais,https://docs.google.com/document/d/1c5X_BSkbLrultU5B9Qq4NcKWwiIc2B8qHYAwX7wVuYM/edit?tab=t.0,Escopo de Produto,Não iniciada,2024,
Comércio,Contabilidade Standard - Comércio,https://docs.google.com/document/d/1qGPHWa2Q1DY9oEtbl2U_ddHgdlJmGb4rMEJ4cnpHk8Y/edit?tab=t.0,Escopo de Produto,Não iniciada,2024,
Comércio,Contabilidade Mensal - Contabilidade Mensal Transportadora Lucro Real,https://docs.google.com/document/d/1NoknYCwomFP5GDreNCLbuetkgc9G2CXhWUaZl-5J-oY/edit?tab=t.0,Escopo de Produto,Não iniciada,2024,
Comércio,Contabilidade Consultiva - Comércio,https://docs.google.com/document/d/1dk9BVxrto1F4vKthe2wTf1vZzT6PQJRYatpYFraz_xg/edit?tab=t.0,Escopo de Produto,Não iniciada,2024,
Comércio,Contabilidade Consultiva - Ecommerce,https://docs.google.com/document/d/1xbp4AMECmkTXVpEep3xVSLpF4zDi_dBNOIh0IGAdP7g/edit?tab=t.0,Escopo de Produto,Não iniciada,2024,
Comércio,Contabilidade Consultiva - Transportadoras,https://docs.google.com/document/d/1zNA2dSd8_xxG_nyufTtV2IhKsPxcoEmB7Uj4MVaqQSA/edit?tab=t.0,Escopo de Produto,Não iniciada,2024,
Comércio,Abertura de Empresa e Contabilidade Mensal,https://docs.google.com/document/d/1Lu7fKORDvT9O0MtDghdBd-rkO4RcC1t-y4-4j_YHzng/edit?tab=t.0,Escopo de Produto,Não iniciada,2024,
Comércio,Sobre Nós,https://docs.google.com/document/d/12svc2pU6uexH6jcfhKr9xfun8TRjMGxxJ5OPevzIY_U/edit?tab=t.0,Apresentação,Não iniciada,2024,
Recuperação Tributária,Torus - Recuperação Tributária,https://docs.google.com/presentation/d/1Pre7O1oZJKvtP94IgLx72GnDf-UsNtfaXMTtSkuJZK4/edit#slide=id.g1d699c3164e_0_0,Escopo de Produto,Não iniciada,2024,
Simples Nacional ou Lucro Presumido,Contabilidade para Simples e Presumido - MODELO DE PROPOSTA 2025,https://docs.google.com/document/d/1IBc1tr3nwvkKcX7B2HkfVDjuu4bA1LbRwq-c4mJhLAo/edit?tab=t.0,Escopo de Produto,Não iniciada,2025,
Geral,BPO Financeiro - 2025,https://docs.google.com/document/d/1mItydETdFtIa2jCer5mELShu4y68rsGn94CwJyhZT5U/edit?tab=t.0#heading=h.b1wptz6irnhx,Escopo de Produto,Não iniciada,2025,
Multinacionais,Business Proposal for Establishing a Company in Brazil - 2025,https://docs.google.com/document/d/1SRkFoBV2mxWs32W6P-jpP7jLfw1nfD6Z534AJC0gats/edit?tab=t.0#heading=h.3jmkfigaworv,Escopo de Produto,Não iniciada,2025,
Multinacionais,Commercial Proposal for Monthly Accounting for Multinational Companies - 2025,https://docs.google.com/document/d/1OafQO3WXVjmpsYmriD5WJJ6Ei8YDQrZri12_s_uYw4w/edit?tab=t.0#heading=h.l26pvgdwofii,Escopo de Produto,Não iniciada,2025,
Multinacionais,Financial BPO - 2025,https://docs.google.com/document/d/1TeuYivbHhWL9Zn0lziKbOQQI-yQZateoQULl7l0GI-g/edit?tab=t.0#heading=h.ks7a1862fe5e,Escopo de Produto,Não iniciada,2025,
Geral,Holding Familiar Simplificada - 2025,https://docs.google.com/document/d/11fcPaSUz4iP689Y3K_5J0UNPKdyd2dQdmVtsPLARx6E/edit?tab=t.0#heading=h.flbhcb8vn86,Escopo de Produto,Não iniciada,2025,
Geral,Planejamento Sucessório e Holding Familiar - 2025,https://docs.google.com/document/d/1xzv-x4LNDfYjFrphRJYM0zhlUJov0CBqO70o97wPqO8/edit?tab=t.0#heading=h.78cbdgv093zm,Escopo de Produto,Não iniciada,2025,
Geral,Abertura de Empresa - 2025,https://docs.google.com/document/d/1y7YHHal_l5LUzKqXYDJHidkohiOojzcdt-4FG7jY6iQ/edit?tab=t.0#heading=h.bpbt6b2vk7ud,Escopo de Produto,Não iniciada,2025,
Multinacionais,Abertura de Empresa no Brasil - 2025,https://docs.google.com/document/d/1vUmDML_Ra2neNtlW-9JZQcCKNx4uQp1FinV9PNs6CMQ/edit?tab=t.0#heading=h.4xlc5g4a9qw0,Escopo de Produto,Não iniciada,2025,
Multinacionais,Contabilidade Mensal para Empresas Multinacionais - 2025,https://docs.google.com/document/d/1RBgiL9Hodry7LEApDJNUWcVJWOeH8ltXltkuY3BpiF8/edit?tab=t.0#heading=h.8kuce33r7qhp,Escopo de Produto,Não iniciada,2024,
