Nome do Modelo,Ano,Categoria,Data,ICP,Status de Revisão,URL
Contabilidade Consultiva - Construtora e Incorporadora,2024,Escopo de Produto,,Serviços,Não iniciada,https://docs.google.com/document/d/1DmksKQLwAo5aT0p1QJHKgTKL2V59c2qqUEWJcavCBN0/edit?tab=t.0
Sobre nós,2024,Apresentação,,Serviços,Não iniciada,https://docs.google.com/document/d/12svc2pU6uexH6jcfhKr9xfun8TRjMGxxJ5OPevzIY_U/edit?tab=t.0
EN - Accounting Service for Multinacional,2024,Escopo de Produto,,Multinacionais,Não iniciada,https://docs.google.com/document/d/1ueqFBXFujBHBmJOjzKUiDn38qN6ipQeCoTNBsI8utgE/edit?tab=t.0
"EN - Company Incorporation, Accounting Services and Financial BPO for Multinacional",2024,Escopo de Produto,,Multinacionais,Não iniciada,https://docs.google.com/document/d/1RoLMZGeHL5bhE_jgIhbAB_4URYQvUPW5jiAJnwjyplQ/edit?tab=t.0
"EN - Legal Assistance EN - Multinacionals ",2024,Escopo de Produto,,Multinacionais,Não iniciada,https://docs.google.com/document/d/14wKpCxu1lMl5VGSY-RBhpQmX3_kJNL0rwcwdcYT5BnE/edit?tab=t.0
"PT - Constituição de empresa com Suporte Jurídico, Contabilidade Consultiva e BPO  Financeiro - Multinacionais",2024,Escopo de Produto,,Multinacionais,Não iniciada,https://docs.google.com/document/d/1L7HxzuqxpVICfa8DRzjkHmTFOzvXMtIsUwo1Bl16Mgs/edit?tab=t.0
PT - Contabilidade Consultiva - Multinacionais,2024,Escopo de Produto,,Multinacionais,Não iniciada,https://docs.google.com/document/d/1wEuhETs4B0hqHoEkQKMUvYv7O5B25ZykMWcThujTXhI/edit?tab=t.0
PT - Constituição de empresa com Suporte Jurícidio - Multinacionais,2024,Escopo de Produto,,Multinacionais,Não iniciada,https://docs.google.com/document/d/1wTqjiF3QQMd05hWpJjeYXicaetC-VUW9jUG-8AzIqFg/edit?tab=t.0
PT - Transfer Pricing - Multinacionais,2024,Escopo de Produto,,Multinacionais,Não iniciada,https://docs.google.com/document/d/1otUt7ZBnTtXWCZXFzh_lXedJ1DOyMddeWejr7QrUSY0/edit?tab=t.0
PT - Contabilidade Mensal - Multinacionais,2024,Escopo de Produto,,Multinacionais,Não iniciada,https://docs.google.com/document/d/1c5X_BSkbLrultU5B9Qq4NcKWwiIc2B8qHYAwX7wVuYM/edit?tab=t.0
Contabilidade Standard - Comércio,2024,Escopo de Produto,,Comércio,Não iniciada,https://docs.google.com/document/d/1qGPHWa2Q1DY9oEtbl2U_ddHgdlJmGb4rMEJ4cnpHk8Y/edit?tab=t.0
Contabilidade Mensal - Contabilidade Mensal Transportadora Lucro Real,2024,Escopo de Produto,,Comércio,Não iniciada,https://docs.google.com/document/d/1NoknYCwomFP5GDreNCLbuetkgc9G2CXhWUaZl-5J-oY/edit?tab=t.0
Contabilidade Consultiva - Comércio,2024,Escopo de Produto,,Comércio,Não iniciada,https://docs.google.com/document/d/1dk9BVxrto1F4vKthe2wTf1vZzT6PQJRYatpYFraz_xg/edit?tab=t.0
Contabilidade Consultiva - Ecommerce,2024,Escopo de Produto,,Comércio,Não iniciada,https://docs.google.com/document/d/1xbp4AMECmkTXVpEep3xVSLpF4zDi_dBNOIh0IGAdP7g/edit?tab=t.0
Contabilidade Consultiva - Transportadoras,2024,Escopo de Produto,,Comércio,Não iniciada,https://docs.google.com/document/d/1zNA2dSd8_xxG_nyufTtV2IhKsPxcoEmB7Uj4MVaqQSA/edit?tab=t.0
Abertura de Empresa e Contabilidade Mensal,2024,Escopo de Produto,,Comércio,Não iniciada,https://docs.google.com/document/d/1Lu7fKORDvT9O0MtDghdBd-rkO4RcC1t-y4-4j_YHzng/edit?tab=t.0
Sobre Nós,2024,Apresentação,,Comércio,Não iniciada,https://docs.google.com/document/d/12svc2pU6uexH6jcfhKr9xfun8TRjMGxxJ5OPevzIY_U/edit?tab=t.0
Torus - Recuperação Tributária,2024,Escopo de Produto,,Recuperação Tributária,Não iniciada,https://docs.google.com/presentation/d/1Pre7O1oZJKvtP94IgLx72GnDf-UsNtfaXMTtSkuJZK4/edit#slide=id.g1d699c3164e_0_0
Contabilidade para Simples e Presumido - MODELO DE PROPOSTA 2025,2025,Escopo de Produto,,Simples Nacional ou Lucro Presumido,Não iniciada,https://docs.google.com/document/d/1IBc1tr3nwvkKcX7B2HkfVDjuu4bA1LbRwq-c4mJhLAo/edit?tab=t.0
BPO Financeiro - 2025,2025,Escopo de Produto,,Geral,Não iniciada,https://docs.google.com/document/d/1mItydETdFtIa2jCer5mELShu4y68rsGn94CwJyhZT5U/edit?tab=t.0#heading=h.b1wptz6irnhx
Business Proposal for Establishing a Company in Brazil - 2025,2025,Escopo de Produto,,Multinacionais,Não iniciada,https://docs.google.com/document/d/1SRkFoBV2mxWs32W6P-jpP7jLfw1nfD6Z534AJC0gats/edit?tab=t.0#heading=h.3jmkfigaworv
Commercial Proposal for Monthly Accounting for Multinational Companies - 2025,2025,Escopo de Produto,,Multinacionais,Não iniciada,https://docs.google.com/document/d/1OafQO3WXVjmpsYmriD5WJJ6Ei8YDQrZri12_s_uYw4w/edit?tab=t.0#heading=h.l26pvgdwofii
Financial BPO - 2025,2025,Escopo de Produto,,Multinacionais,Não iniciada,https://docs.google.com/document/d/1TeuYivbHhWL9Zn0lziKbOQQI-yQZateoQULl7l0GI-g/edit?tab=t.0#heading=h.ks7a1862fe5e
Holding Familiar Simplificada - 2025,2025,Escopo de Produto,,Geral,Não iniciada,https://docs.google.com/document/d/11fcPaSUz4iP689Y3K_5J0UNPKdyd2dQdmVtsPLARx6E/edit?tab=t.0#heading=h.flbhcb8vn86
Planejamento Sucessório e Holding Familiar - 2025,2025,Escopo de Produto,,Geral,Não iniciada,https://docs.google.com/document/d/1xzv-x4LNDfYjFrphRJYM0zhlUJov0CBqO70o97wPqO8/edit?tab=t.0#heading=h.78cbdgv093zm
Abertura de Empresa - 2025,2025,Escopo de Produto,,Geral,Não iniciada,https://docs.google.com/document/d/1y7YHHal_l5LUzKqXYDJHidkohiOojzcdt-4FG7jY6iQ/edit?tab=t.0#heading=h.bpbt6b2vk7ud
Abertura de Empresa no Brasil - 2025,2025,Escopo de Produto,,Multinacionais,Não iniciada,https://docs.google.com/document/d/1vUmDML_Ra2neNtlW-9JZQcCKNx4uQp1FinV9PNs6CMQ/edit?tab=t.0#heading=h.4xlc5g4a9qw0
Contabilidade Mensal para Empresas Multinacionais - 2025,2024,Escopo de Produto,,Multinacionais,Não iniciada,https://docs.google.com/document/d/1RBgiL9Hodry7LEApDJNUWcVJWOeH8ltXltkuY3BpiF8/edit?tab=t.0#heading=h.8kuce33r7qhp
